word,pos,translation,tag,bnc,frq,exchange
take,,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费\nvi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产\nn. 拿, 取, 收成, 奏效",zk gk ielts,51,63,p:took/d:taken/i:taking/3:takes
tale,,"n. 故事, 谎言, 谣言, 陈述, 叙述\n[法] 虚语, 诽语, 谣言",zk gk cet4 cet6 ky toefl,2493,2239,s:tales
talent,,"n. 天才, 才能, 有才干的人, 天资",gk cet4 cet6 ky toefl,2694,2030,s:talents
talk,,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言\nvi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话\nvt. 讲, 说, 讨论, 谈论\n[计] 对话类, 聊天",zk gk,289,168,i:talking/s:talks/p:talked/d:talked/3:talks
tall,,"a. 高的, 长的, 夸大的\nadv. 夸大地",zk gk,1757,1524,r:taller/t:tallest
tank,,"n. 槽, 箱, 柜, 罐, 池塘, 储水池, 坦克\nvt. 储于箱中",gk cet4 cet6 ky toefl,1897,1874,s:tanks/i:tanking/p:tanked/3:tanks/d:tanked
tap,,"n. 轻打, 水龙头\nvt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨\nvi. 轻叩, 轻拍, 啪塔啪塔地走\n[计] 接头",gk cet4 cet6 ky toefl ielts,3299,2843,p:tapped/i:tapping/s:taps/d:tapped/3:taps
tape,,"n. 带子, 录音带, 磁带, 窄带, 卷尺\nvt. 以带子绑起, 测量, 录音\n[计] 带",zk gk cet4 cet6 ky toefl ielts,1561,1490,s:tapes/i:taping/d:taped/p:taped/3:tapes
target,,"n. 目标, 靶子, 指标\nvt. 对准, 订指标",gk cet4 cet6 ky toefl ielts,1095,1281,s:targets/d:targeted/i:targeting/p:targeted/3:targets
task,,"n. 工作, 任务, 作业, 困难的工作\nvt. 派给...工作, 使辛劳\n[计] 任务",zk gk cet4 cet6 ky,779,1047,s:tasks/d:tasked/i:tasking/p:tasked/3:tasks
taste,,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量\nvt. 尝, 察觉...的味道, 体会\nvi. 品尝, 察觉味道, 有某种味道",zk gk cet4 cet6 ky toefl,2077,2031,s:tastes/p:tasted/d:tasted/3:tastes/i:tasting
tax,,"n. 税, 税款, 重负, 会费\nvt. 课以税, 使负重荷, 斥责",gk cet4 cet6 ky toefl,545,509,s:taxes/d:taxed/p:taxed/i:taxing/3:taxes
taxi,,n. 出租车\nvi. 乘出租车\nvt. 用出租车送,zk gk ielts,3317,5161,s:taxis/i:taxiing/p:taxied/3:taxies/d:taxied
tea,,"n. 茶, 茶叶\n[医] 茶, 茶剂, 浸剂",zk gk ielts,1140,2164,s:teas
teach,,"vt. 教, 讲授, 教导, 教育\nvi. 教书, 教学, 可以教",zk gk,959,545,d:taught/i:teaching/p:taught/3:teaches
teacher,,"n. 教师, 老师, 导师",zk gk ielts,486,371,s:teachers
team,,"n. 队, 组\nvt. 把马(牛)套在同一辆车上, 把...编成一组\nvi. 驾驶卡车, 协作",zk gk cet4 cet6 ky toefl ielts,427,307,s:teams/d:teamed/p:teamed/i:teaming/3:teams
teapot,,n. 茶壶,gk toefl,12436,12851,s:teapots
tear,,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔\nvi. 流泪, 撕破, 赶快, 飞奔, 被撕破\nvt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨",gk cet4 cet6 ky toefl ielts gre,1861,1905,s:tears/d:torn/p:tore/i:tearing/3:tears
technical,,"a. 技术上的, 专门的, 工业的, 严格根据法律的\n[化] 技巧",gk cet4 cet6 ky toefl ielts,1394,2064,
technique,,"n. 技巧, 技术, 方法\n[化] 工艺方法; 技巧",gk cet4 cet6 ky ielts,949,1335,s:techniques
technology,,"n. 技术, 工业技术, 术语\n[医] 技术学, 工艺学",zk gk cet4 cet6 ky ielts,756,585,s:technologies
teenager,,n. 十三岁到十九岁的少年,gk cet4 cet6 ky,3812,2440,s:teenagers
telephone,,"n. 电话, 电话机\nv. 打电话",zk gk ielts,1327,1865,p:telephoned/s:telephones/i:telephoning/d:telephoned/3:telephones
telescope,,"n. 望远镜\nvi. 叠缩, 嵌进, 缩短\nvt. 使叠缩, 使缩短",gk cet4 cet6 ky toefl ielts,8217,2759,s:telescopes/p:telescoped/i:telescoping/d:telescoped/3:telescopes
television,,n. 电视\n[电] 电视,zk gk ielts,978,794,s:televisions
tell,,"vt. 告诉, 说, 吩咐, 断定, 知道\nvi. 讲述, 泄密, 告发, 表明",zk gk,107,103,p:told/d:told/i:telling/3:tells
temperature,,"n. 温度, 发烧, 热度\n[化] 温度",zk gk cet4 cet6 ky toefl ielts,1622,1622,s:temperatures
temple,,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角\n[医] 颞颥, 颞部",gk cet4 cet6 ky toefl ielts,3448,3616,s:temples
temporary,,"a. 暂时的, 临时的\nn. 临时工, 临时雇员\n[计] 临时",gk cet4 cet6 ky toefl ielts,2302,3150,s:temporaries
ten,,"num. 十, 十个",zk gk,469,838,
tend,,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意\nvt. 照料, 护理",gk cet4 cet6 ky gre,849,1039,3:tends/p:tended/d:tended/i:tending
tendency,,"n. 趋向, 倾向\n[医] 趋向, 趋势",gk cet4 cet6 ky toefl ielts,2377,3040,s:tendencies
tennis,,n. 网球,zk gk ielts,2846,3082,
tension,,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压\nvt. 拉紧, 使紧张",gk cet4 ky toefl ielts gre,2092,2186,s:tensions/d:tensioned
tent,,"n. 帐篷, 帷幕, 住处, 塞条, 塞子\nvi. 住帐蓬, 宿营, 暂时居住\nvt. 用帐篷遮盖, 使住帐篷, 用塞条嵌入",zk gk cet4 cet6 ky,4158,3071,s:tents/p:tented/i:tenting/3:tents/d:tented
tentative,,"n. 试验\na. 试验性的, 暂时的",gk cet6 ky toefl ielts gre,7552,7722,
tenth,,"num. 第十, 十分之一",zk,5237,7565,
term,,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石\nvt. 称, 呼\n[计] 检索词; 项",zk gk cet4 cet6 ky toefl ielts,316,626,s:terms/d:termed/p:termed/3:terms/i:terming
terminal,,"n. 终端机, 终点, 末端, 极限, 终点站\na. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的\n[计] 终端; 终端设备",gk cet4 cet6 ky toefl ielts gre,4011,5777,s:terminals
terrible,,"a. 可怕的, 令人恐惧的, 极坏的",zk gk cet4 cet6 ky toefl,1927,1944,
territory,,"n. 领土, 领地, 版图, 地区, 活动范围\n[经] (推销员等的)推销区域",cet4 cet6 ky toefl ielts,2009,2179,s:territories
terror,,"n. 恐怖, 可怕的人\n[医] 惊吓, 惊悸",gk cet4 cet6 ky toefl ielts,4120,2732,s:terrors
test,,"n. 测试, 试验, 化验, 检验, 考验, 甲壳\nvt. 测试, 试验, 化验\nvi. 接受测验, 进行测试",zk gk cet4 cet6 ky ielts,627,575,s:tests/d:tested/i:testing/p:tested/3:tests
text,,"n. 文本, 正文, 课文, 主题, 圣经文句, 乐谱\n[计] 电文; 文本; 正文",zk gk ielts,1002,1289,s:texts
textbook,,n. 教科书,gk cet4 cet6 ky ielts,6096,4473,s:textbooks
than,,"conj. 比, 除...外\nprep. 比",zk gk,89,73,
thank,,"n. 谢意, 感谢\nvt. 谢谢, 感谢",zk gk,768,498,p:thanked/i:thanking/d:thanked/3:thanks
that,,"a. 那, 那个\nconj. 以致, 因为\npron. 那\nadv. 那么, 那样",zk gk,14,12,
the,,art. 那,zk gk,1,1,
theater,,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所",ky toefl,39534,1535,
theft,,"n. 盗窃, 失窃, 盗窃罪, 赃物\n[法] 盗窃行为, 偷窃, 失窃",gk cet6 ky toefl ielts,3545,5367,s:thefts
their,,pron. 他们的,zk gk,36,36,
them,,"pron. 他们, 她们, 它们",zk gk,46212,59,s:thems
theme,,"n. 主题, 话题, 题目",gk cet4 cet6 ky toefl ielts,1703,1655,s:themes
themselves,,"pron. 他们自己, 她们自己, 它们自己",zk gk,394,449,
then,,"adv. 然后, 当时\nconj. 然后, 当时\nn. 那时",zk gk,59,77,
theoretical,,"a. 理论的, 理论上的, 假设的, 推理的\n[计] 理论的",gk cet4 cet6 ky toefl ielts gre,2729,3781,
theory,,"n. 理论, 学说, 原理, 意见, 推测\n[化] 理论",gk cet4 cet6 ky ielts,596,918,s:theories
there,,adv. 在那里,zk gk,37,53,
therefore,,"adv. 因此, 所以",gk cet4 cet6 ky toefl,408,1161,
these,,pron. 这些,zk gk,76,82,
they,,"pron. 他们, 它们",zk gk,18,21,
thick,,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的\nadv. 厚地, 密地, 浓浓地\nn. 最浓处, 最厚处, 最密集处\n[计] 暗, 粗线",zk gk cet4 cet6 ky,1806,1721,r:thicker/t:thickest
thief,,"n. 小偷, 贼\n[化] 取样",gk cet4 cet6 ky ielts,3965,5007,s:thieves
thin,,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的\nvt. 使变薄, 使变细, 使稀少, 使淡\nvi. 变薄, 变细, 变少, 变淡\nadv. 薄地, 稀疏地, 微弱地\nn. 细小部分",zk gk toefl,1670,1621,r:thinner/i:thinning/t:thinnest/d:thinned/3:thins/p:thinned
thing,,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征",zk gk,106,97,s:things
think,,"vt. 想, 考虑, 想起, 想像, 打算, 认为\nvi. 思考, 料想\nn. 想法\na. 思想的",zk gk,64,56,p:thought/d:thought/i:thinking/3:thinks
thinking,,"n. 思考, 思想\na. 思考的, 有理性的",gk ielts,2075,1695,0:think/1:i/i:thinking
third,,"num. 第三, 三分之一\n[机] 第三; 第三的",zk gk ielts,465,584,
thirsty,,"a. 口渴的, 渴望的, 干燥的",zk gk,11904,10308,r:thirstier/t:thirstiest
thirteen,,"num. 十三, 十三个",zk gk,3309,5649,
thirty,,"num. 三十, 三十个",zk gk,1003,2833,
this,,"pron. 这, 本\na. 这, 本\nadv. 这么",zk gk,23,20,
thorough,,"a. 十分的, 彻底的",gk cet4 cet6 ky toefl ielts,5257,5852,
those,,pron. 那些,zk gk,100,102,
though,,"adv. 然而, 可是\nconj. 虽然, 纵然",zk gk,377,245,
thought,,"n. 想法, 思想, 思维, 关心, 挂念\nthink的过去式和过去分词",zk gk cet4 cet6 ky toefl ielts,710,760,0:think/1:pd/s:thoughts
thousand,,"num. 千\na. 成千的, 许多的\nn. 许许多多",zk gk ielts,631,651,
threat,,"n. 恐吓, 恶兆, 威胁\n[经] 威胁",cet4 cet6 ky toefl gre,1363,1066,s:threats
threaten,,"vt. 恐吓, 威胁, 预示...的凶兆\nvi. 威胁, 恫吓, 可能来临",cet4 cet6 ky toefl,1390,1395,d:threatened/i:threatening/p:threatened/3:threatens
three,,"num. 三, 三个",zk gk,104,135,
throat,,"n. 咽喉, 喉咙, 嗓音\nvt. 用喉音说, 开沟于",gk cet4 cet6 ky ielts,2449,2454,s:throats
through,,"adv. 穿越, 从头至尾, 到底, 因为\nprep. 经过, 穿过\na. 对穿的, 直达的, 完结的",zk gk,109,112,
throughout,,"adv. 到处, 贯穿全部地, 自始至终\nprep. 遍及, 在各处\n[计] 吞吐量",gk cet4 cet6 ky ielts,859,983,
throw,,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱\nvi. 丢, 掷, 抛\nn. 投掷, 掷骰子, 冒险",zk gk toefl,868,677,d:thrown/p:threw/i:throwing/3:throws/s:throws
thunder,,"n. 雷, 雷声\nvi. 打雷, 轰隆地响, 怒喝\nvt. 大声喊出, 轰隆地发出",gk cet4 cet6 ky toefl ielts,6539,8090,p:thundered/i:thundering/s:thunders/d:thundered/3:thunders
thursday,,n. 星期四,zk gk ielts,2258,0,s:thursdays
thus,,"adv. 如此, 因此, 到如此程度\n[医] 乳香",gk cet4 cet6 ky,479,744,
ticket,,"n. 票, 券, 车票, 标签, 入场券, 证明书\nvt. 加标签于, 为...购票",zk gk toefl ielts,1884,1576,s:tickets/i:ticketing/p:ticketed/3:tickets/d:ticketed
tidy,,"n. 椅子的背罩, 装杂物的容器\na. 整齐的, 有条理的\nvt. 弄整齐, 收拾, 整理\nvi. 整理, 收拾",zk gk cet4 cet6 ky ielts gre,6376,9867,i:tidying/p:tidied/d:tidied/r:tidier/3:tidies/t:tidiest/s:tidies
tie,,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负\nvt. 系, 打结, 扎, 约束, 与...成平局\nvi. 结合, 打结, 不分胜负",zk gk cet4 cet6 ky,2118,1501,d:tied/s:ties/p:tied/i:tying/3:ties
tiger,,"n. 老虎, 虎, 凶暴的人",zk gk cet4 cet6 ky,4773,5908,s:tigers
tight,,"a. 紧的, 密封的, 吝啬的, 严厉的\nadv. 紧紧地",gk cet4 cet6 ky toefl,2805,2741,r:tighter/s:tights/t:tightest
till,,"prep. 直到, 在...以前, 迄\nconj. 直到...为止\nvt. 耕种\nn. 放钱的抽屉, 备用现金, 冰碛",zk gk toefl,2835,4897,s:tills/i:tilling/p:tilled/d:tilled/3:tills
time,,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间\nvt. 测定...的时间, 记录...的时间, 计时, 定时\na. 时间的, 记时的, 定时的, 定期的, 分期的\n[计] DOS内部命令:用于显示或设定系统的时间",zk gk ielts,50,52,s:times/d:timed/i:timing/p:timed/3:times
timetable,,n. 时间表,gk cet4 cet6 ielts,4536,8819,s:timetables/i:timetabling/d:timetabled/p:timetabled
tin,,"n. 锡, 马口铁, 罐头\nvt. 在...镀锡于\na. 锡制的\n[计] tin阅读程序",gk cet4 cet6 ky toefl,2956,5424,s:tins/i:tinning/d:tinned/p:tinned/3:tins
tiny,,"a. 很少的, 微小的",zk gk cet4 cet6 ky toefl,1666,1313,t:tiniest/r:tinier/s:tinies
tip,,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息\nvt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击\nvi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费\n[计] 终端接口处理器, 提示, 技巧",gk cet4 cet6 ky toefl,2631,1928,s:tips/d:tipped/p:tipped/i:tipping/3:tips
tire,,"n. 轮胎, 头饰\nvt. 使疲倦, 使厌烦, 打扮\nvi. 疲劳, 厌倦",gk cet4 cet6 ky toefl gre,11152,2850,p:tired/3:tires/d:tired/i:tiring
tired,,"a. 疲累的, 疲乏的, 厌倦的",zk gk,2210,1959,d:tired/0:tired/1:dp/p:tired
tissue,,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套\n[化] 组织",gk cet4 cet6 ky toefl ielts gre,2784,2688,s:tissues/i:tissuing/p:tissued/3:tissues/d:tissued
title,,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕\nvt. 授予头衔, 加标题于\n[计] 标题",gk cet4 cet6 ky toefl ielts,855,1323,s:titles/d:titled/i:titling/p:titled/3:titles
to,,"prep. 到, 向, 趋于\nadv. 向前",zk gk,7,7,
toast,,"n. 吐司, 烤面包, 干杯\nvt. 敬酒, 烤, 使暖和\nvi. 烤, 烘",gk cet4 cet6 ky ielts,5754,6163,i:toasting/s:toasts/p:toasted/d:toasted/3:toasts
tobacco,,"n. 烟草, 香烟\n[医] 烟草",gk cet4 cet6 ky toefl,4278,3010,s:tobaccos
today,,"n. 今天, 当今, 现在\nadv. 今天, 当今",zk gk,350,214,s:todays
together,,"adv. 一起, 共同, 彼此",zk gk,288,324,
toilet,,"n. 厕所, 梳妆\nvi. 梳妆, 打扮, 上厕所\nvt. 给...梳妆打扮",zk gk cet4 cet6 ky,3550,3983,s:toilets
tolerate,,"vt. 宽容, 容许, 有耐力",gk cet4 cet6 ky toefl,4959,4319,d:tolerated/p:tolerated/i:tolerating/3:tolerates
tomato,,"n. 番茄, 西红柿",zk gk cet4 cet6 ky toefl,4402,2400,s:tomatoes
tomorrow,,"n. 明天, 未来\nadv. 明天, 未来地",zk gk,1075,1334,s:tomorrows
ton,,n. 吨\n[经] 吨,zk gk cet4 cet6 ky,3936,0,s:tons/i:toning/r:tonner
tone,,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态\nvt. 给...定色调, 增强, 使...的声调和谐, 定音调\nvi. 颜色调和\n[计] 双音频",cet4 cet6 ky,1813,1995,s:tones/d:toned/p:toned/3:tones/i:toning
tongue,,"n. 舌, 语言能力, 讲话方式, 语言\nvt. 舔, 斥责, 发...的音\nvi. 使用舌头, 吹管乐器",zk gk cet4 cet6 ky toefl ielts,2831,2871,s:tongues/i:tonguing/p:tongued/3:tongues/d:tongued
tonight,,"n. 今晚, 今夜\nadv. 今晚, 今夜",zk gk,1385,910,
too,,"adv. 也, 非常, 太",zk gk,115,133,
tool,,"n. 工具, 机床, 傀儡\nvt. 用工具加工\nvi. 使用工具",zk gk cet4 cet6 ky,1739,1291,s:tools/i:tooling/p:tooled/3:tools/d:tooled
tooth,,"n. 牙齿, 齿状物, 爱好\nvt. 装以齿, 将...切成齿状\nvi. 啮合",zk gk,1747,1854,s:teeth
top,,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺\na. 最高的, 顶上的, 头等的\nvt. 盖, 加以顶, 高达, 超越\nvi. 结束, 达到顶点, 高出\n[计] TOP协议",zk gk cet4 cet6 ky ielts,776,678,s:tops/d:topped/p:topped/i:topping/3:tops
topic,,"n. 主题, 论题, 话题",gk cet4 cet6 ky toefl ielts,2051,1860,s:topics
total,,"a. 全体的, 总的, 全然的\nvt. 计算...的总和, 共计为\nvi. 合计\nn. 总数, 全体, 合计\nadv. 统统",zk gk cet4 cet6 ky ielts,831,1038,i:totalling/p:totalled/s:totals/3:totals/d:totalled
totally,,adv. 完全地,gk,1608,1911,
touch,,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力\nvt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动\nvi. 触摸, 接近, 涉及, 提到",zk gk cet4 cet6 ky toefl,1372,1166,p:touched/d:touched/i:touching/s:touches/3:touches
tough,,"n. 恶棍\na. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的",gk cet4 cet6 ky toefl ielts,2160,1012,r:tougher/t:toughest/s:toughs
tour,,"n. 旅游, 观光旅行, 任期\nvi. 旅行, 周游, 巡回\nvt. 周游, 观光, 游历, 使巡回演出",zk gk cet4 cet6 ky ielts,1420,1474,s:tours/i:touring/p:toured/d:toured/3:tours
tourism,,"n. 观光业, 游览\n[经] 旅游业",gk ielts,4425,4721,
tourist,,"n. 观光客, 旅行者\na. 旅游的",zk gk ielts,2425,2394,s:tourists
tournament,,"n. 比赛, 竞赛, 锦标赛, 联赛",gk ky toefl ielts gre,3482,2761,s:tournaments
toward,,"prep. 向, 对于, 为了\na. 即将来临的, 进行中的",zk gk cet4 ky,4712,384,
towel,,"n. 手巾, 毛巾\nv. 擦干身子",zk gk cet4 cet6 ky toefl ielts,4814,3682,s:towels/p:towelled/i:towelling/3:towels/d:towelled
tower,,"n. 塔, 高楼, 堡垒\nvi. 高耸, 翱翔",zk gk cet4 cet6 ky toefl ielts,2131,2412,s:towers/p:towered/i:towering/3:towers/d:towered
town,,"n. 城镇, 市, 镇\n[法] 城镇, 城市, 闹市",zk gk ielts,433,488,s:towns
toy,,"n. 玩具, 小玩艺儿, 小型的东西, 消遣\na. 供玩耍的, 作为玩具的\nvi. 玩弄, 戏弄, 调情",zk gk cet4 cet6 ky gre,3412,2418,s:toys/p:toyed/i:toying/d:toyed/3:toys
track,,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径\nvt. 循路而行, 追踪, 通过, 用纤拉\nvi. 追踪, 留下足迹, 沿轨道运行\n[计] 跟踪",gk cet4 cet6 ky toefl ielts gre,1268,1143,s:tracks/d:tracked/p:tracked/i:tracking/3:tracks
trade,,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风\nvi. 进行交易, 做买卖, 经商, 对换, 购物\nvt. 用...进行交换",zk gk cet4 cet6 ky ielts,485,800,s:trades/i:trading/d:traded/p:traded/3:trades
tradition,,"n. 传说, 传统, 交付\n[法] 传统, 惯例, 移交",gk cet4 cet6 ky,1417,1243,s:traditions
traditional,,"a. 传统的, 惯例的\n[经] 传统的, 惯例的",zk gk cet4 cet6 ielts,1006,925,
traffic,,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量\nvi. 交易, 做买卖\nvt. 用...作交换\n[计] 通信量, 传输量",zk gk cet4 cet6 ky toefl ielts,1423,1712,i:trafficking/p:trafficked/3:traffics/d:trafficked
train,,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序\nvt. 训练, 教育, 对准\nvi. 受训练, 锻炼",zk gk ielts,1186,1516,d:trained/s:trains/i:training/p:trained/3:trains
trainer,,"n. 训练员, 驯马师\n[电] 列车器",gk,3854,4458,s:trainers
training,,"n. 训练, 培养\n[医] 训练",zk gk cet4 cet6 ky ielts,516,796,i:training/0:training/1:i
transform,,"vt. 使转换, 改变, 改造, 使...变形\nvi. 改变, 转化, 变换\n[计] 变换",gk cet4 cet6 ky toefl ielts,2693,2185,d:transformed/i:transforming/p:transformed/3:transforms
translate,,"vt. 翻译, 解释, 转化, 转变为, 调动\nvi. 翻译, 被译\n[计] 转换",zk gk cet4 cet6 ky,3281,2729,d:translated/i:translating/3:translates/p:translated
translation,,"n. 翻译, 译文, 转化, 调任, 平移, 转译\n[计] 转换",gk cet4 cet6 ky toefl,3982,4290,s:translations
transport,,"n. 运输, 运输工具, 激动, 狂喜, 流放犯\nvt. 传送, 运输, 流放\n[计] 传送",gk cet4 cet6 ky ielts gre,1202,4640,d:transported/i:transporting/p:transported/3:transports/s:transports
trap,,"n. 圈套, 陷阱, 诡计, 存水弯\nvi. 设圈套, 设陷阱\nvt. 诱捕, 诱骗, 抓住, 使受限制\n[计] 俘获; 陷井",gk cet4 cet6 ky toefl ielts,3373,3538,d:trapped/s:traps/p:trapped/i:trapping/3:traps
travel,,"n. 旅行, 游历, 行进\nvi. 旅行, 行进, 移动, 被传播\nvt. 旅行, 通过, 使移动",zk gk ielts,1132,1081,i:travelling/p:travelled/d:travelled/s:travels/3:travels
traveler,,"n. 旅行者, 游客, 旅客, 旅行推销员, 活动起重架, 行车, 临时记帐单",gk,0,3795,s:travelers
treasure,,"n. 宝物, 财富\nvt. 珍爱, 重视, 秘藏",zk gk cet4 cet6 ky toefl,4538,4074,s:treasures/d:treasured/p:treasured/3:treasures/i:treasuring
treat,,"n. 宴请, 款待\nvt. 视为, 对待, 论述, 治疗, 款待\nvi. 讨论, 谈判, 作东",gk cet4 cet6 ky toefl,856,960,d:treated/i:treating/p:treated/3:treats/s:treats
treatment,,"n. 治疗, 待遇, 处理\n[医] 疗法, 治疗; 处理",zk gk cet4 cet6 toefl ielts,766,745,s:treatments
tree,,"n. 树, 木料, 树状物\nvt. 把...赶上树\n[计] 树; DOS外部命令:显示指定磁盘驱动器的目录结构",zk gk ielts,680,596,s:trees/i:treeing/p:treed/3:trees/d:treed
tremble,,"n. 战栗, 颤抖\nvi. 战栗, 忧虑, 摇晃",gk cet4 cet6 ky toefl ielts,4432,5233,i:trembling/p:trembled/3:trembles/d:trembled
trend,,"n. 趋势, 倾向, 走向\nvi. 倾向, 转向\n[计] 趋势",gk cet4 cet6 ky toefl ielts gre,1949,1697,s:trends/i:trending/p:trended/3:trends/d:trended
trial,,"n. 审判, 试验, 艰苦, 麻烦事, 考验\na. 审讯的, 试验性的",gk cet4 cet6 ky toefl ielts,1166,898,s:trials/p:trialled
trick,,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍\nvt. 愚弄, 欺骗, 装饰\nvi. 哄骗, 戏弄\na. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的",gk cet4 cet6 ky toefl ielts,3180,3068,s:tricks/d:tricked/p:tricked/3:tricks/i:tricking
trip,,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程\nvt. 使跌倒, 使犯错, 使失败\nvi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足",zk gk toefl ielts,1664,962,s:trips/i:tripping/p:tripped/3:trips/d:tripped
troop,,"n. 军队, 一群, 一队\nvi. 群集, 结队, 成群而行",gk cet4 cet6 ky toefl,1740,1137,s:troops/p:trooped/i:trooping/3:troops/d:trooped
trouble,,"n. 烦恼, 麻烦, 困难, 动乱, 故障\nvt. 困扰, 麻烦, 使烦恼, 折磨\nvi. 烦恼, 费心",zk gk toefl ielts,1005,981,s:troubles/d:troubled/p:troubled/3:troubles/i:troubling
trousers,,"pl. 裤子, 长裤",zk gk cet4 cet6 ky ielts,2969,7124,s:trousers/0:trousers/1:s
truck,,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话\nvt. 对...进行交易, 交往, 以卡车运输\nvi. 驾驶卡车, 以物易物",zk gk cet4 cet6 ky,3631,1237,s:trucks/i:trucking/d:trucked/p:trucked/3:trucks
true,,"a. 真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的\nn. 真实, 准确\nadv. 真实地, 准确地",zk gk,547,492,r:truer/t:truest/i:truing/p:trued/3:trues/d:trued
truly,,"adv. 真实地, 不假",gk cet4 cet6,2576,1719,
trunk,,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子\nvt. 把...放入旅行箱内\na. 树干的, 躯干的, 干线的, 箱形的\n[计] 中继线; 母线",gk cet4 cet6 ky toefl ielts gre,4993,3533,s:trunks/i:trunking
trust,,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯\na. 信托的, 托拉斯的\nvt. 信赖, 信任, 相信, 盼望, 赊卖给\nvi. 相信, 信赖, 依靠\n[计] 委托, 信任",zk gk cet4 cet6 ky,1160,1841,s:trusts/d:trusted/p:trusted/i:trusting/3:trusts
truth,,"n. 事实, 实情\n[法] 真实, 真相, 事实",zk gk cet4 cet6 ky toefl,1152,850,s:truths
try,,"n. 尝试, 试验, 审理, 审判\nvt. 试, 尝试, 试验, 考验, 审问, 提炼\nvi. 尝试, 试图",zk gk,159,127,i:trying/p:tried/d:tried/3:tries/s:tries
tube,,"n. 管, 软管, 隧道\nvt. 把...装管, 使通过管子\n[计] 管子",gk cet4 cet6 ky toefl ielts,2688,2520,s:tubes/d:tubed/i:tubing/p:tubed/3:tubes
tuesday,,n. 星期二,zk gk ielts,2348,0,s:tuesdays
tune,,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度\nvt. 为...调音, 调整, 调谐, 使一致\nvi. 协调, 调谐",gk cet4 cet6 ky toefl ielts,3770,3646,s:tunes/d:tuned/i:tuning/p:tuned/3:tunes
turkey,,"n. 火鸡, 无用的家伙, 土耳其",gk cet4 cet6 ky,4180,3292,s:turkeys
